nombre,20/10/17,27/11/17,18/12/17,31/01/18,27/02/18,30/03/18,30/04/18,31/05/18,05/06/18
RAC,12.9,21.9,22,27.6,29.6,26.9,29.8,25.4,24.8
JAM,21.2,22.6,22.2,22.7,24.1,19.5,17,20.5,21.3
AMLO,37.5,39.3,43.5,38.5,39,45.4,48,51,51.1
JRC,0.2,3.1,2.7,1.9,2.6,0.4,2.3,3.4,3.8
